Datum,Dekkingsgraad,Percentage
30-6-2017,Actuele dekkingsgraad,112.4
30-6-2017,Beleidsdekkingsgraad,112.6
30-6-2017,Minimaal vereiste dekkingsgraad,101.5
30-6-2017,Vereiste FTK dekkingsgraad (Strategische mix),103
31-7-2017,Actuele dekkingsgraad,112.4
31-7-2017,Beleidsdekkingsgraad,112.7
31-7-2017,Minimaal vereiste dekkingsgraad,101.5
31-7-2017,Vereiste FTK dekkingsgraad (Strategische mix),103.3
31-8-2017,Actuele dekkingsgraad,111.8
31-8-2017,Beleidsdekkingsgraad,112.7
31-8-2017,Minimaal vereiste dekkingsgraad,101.5
31-8-2017,Vereiste FTK dekkingsgraad (Strategische mix),103.3
30-9-2017,Actuele dekkingsgraad,112.5
30-9-2017,Beleidsdekkingsgraad,112.7
30-9-2017,Minimaal vereiste dekkingsgraad,101.5
30-9-2017,Vereiste FTK dekkingsgraad (Strategische mix),103.9
31-10-2017,Actuele dekkingsgraad,112.6
31-10-2017,Beleidsdekkingsgraad,112.7
31-10-2017,Minimaal vereiste dekkingsgraad,101.5
31-10-2017,Vereiste FTK dekkingsgraad (Strategische mix),104
30-11-2017,Actuele dekkingsgraad,112.2
30-11-2017,Beleidsdekkingsgraad,112.7
30-11-2017,Minimaal vereiste dekkingsgraad,101.5
30-11-2017,Vereiste FTK dekkingsgraad (Strategische mix),104
31-12-2017,Actuele dekkingsgraad,112.1
31-12-2017,Beleidsdekkingsgraad,112.5
31-12-2017,Minimaal vereiste dekkingsgraad,101.6
31-12-2017,Vereiste FTK dekkingsgraad (Strategische mix),104.1
31-1-2018,Actuele dekkingsgraad,112.7
31-1-2018,Beleidsdekkingsgraad,112.5
31-1-2018,Minimaal vereiste dekkingsgraad,101.6
31-1-2018,Vereiste FTK dekkingsgraad (Strategische mix),104.2
28-2-2018,Actuele dekkingsgraad,112.4
28-2-2018,Beleidsdekkingsgraad,112.4
28-2-2018,Minimaal vereiste dekkingsgraad,101.6
28-2-2018,Vereiste FTK dekkingsgraad (Strategische mix),104.3
31-3-2018,Actuele dekkingsgraad,111.3
31-3-2018,Beleidsdekkingsgraad,112.3
31-3-2018,Minimaal vereiste dekkingsgraad,101.6
31-3-2018,Vereiste FTK dekkingsgraad (Strategische mix),104.4
30-4-2018,Actuele dekkingsgraad,110.8
30-4-2018,Beleidsdekkingsgraad,112.1
30-4-2018,Minimaal vereiste dekkingsgraad,101.6
30-4-2018,Vereiste FTK dekkingsgraad (Strategische mix),104.8
31-5-2018,Actuele dekkingsgraad,110.8
31-5-2018,Beleidsdekkingsgraad,112
31-5-2018,Minimaal vereiste dekkingsgraad,101.6
31-5-2018,Vereiste FTK dekkingsgraad (Strategische mix),104.8
30-6-2018,Actuele dekkingsgraad,110.6
30-6-2018,Beleidsdekkingsgraad,111.9
30-6-2018,Minimaal vereiste dekkingsgraad,101.6
30-6-2018,Vereiste FTK dekkingsgraad (Strategische mix),104.8
